Problems,Difficulty,Solved,Notes (In Japanese)
"Array, String",,,
Fizz Buzz,Easy,,
Move Zeroes,Easy,,
Flipping an Image,Easy,,
Count Primes,Easy,,
Robot Return to Origin,Easy,,
Find All Numbers Disappeared in an Array,Easy,,
Add Strings,Easy,,
Reverse Vowels of a String,Easy,,
Plus One,Easy,,
Reorder Log Files,Easy,,
Roman to Integer,Easy,,
Merge Sorted Array,Easy,,
Reverse String,Easy,,
Reverse Integer,Easy,,
Longest Common Prefix,Easy,,
Longest Absolute File Path,Medium,,
Game of Life,Medium,,
Next Permutation,Medium,,
3Sum,Medium,,
Container With Most Water,Medium,,
Summary Ranges,Medium,,
Product of Array Except Self,Medium,,
Maximum Product Subarray,Medium,,
Rotate Image,Medium,,
Spiral Matrix,Medium,,
Set Matrix Zeroes,Medium,,
ZigZag Conversion,Medium,,
String to Integer (atoi),Medium,,
Encode and Decode Strings,Medium,,
Insert Delete GetRandom O(1),Medium,,
Find Duplicate File in System,Medium,,
Meeting Rooms,Easy,,
Meeting Rooms II,Medium,,
Merge Intervals,Medium,,
Non-overlapping Intervals,Medium,,
Insert Interval,Hard,,
Longest Consecutive Sequence,Hard,,
First Missing Positive,Hard,,
,,,
Trie,,,
Implement Trie (Prefix Tree),Medium,,
Implement Magic Dictionary,Medium,,
Map Sum Pairs,Medium,,
Replace Words,Medium,,
Maximum XOR of Two Numbers in an Array,Medium,,
Top K Frequent Words,Medium,,
Add and Search Word - Data structure design,Medium,,
Word Search,Medium,,
Word Search II,Hard,,
Palindrome Pairs,Hard,,
Design Search Autocomplete System,Hard,,
,,,
LinkedList,,,
Reverse Linked List,Easy,○,繰り返しと再帰の2ver.で解く (どちらも時間計算量はO(N))
Linked List Cycle,Easy,○,ランナーテクニックでフロイドの循環検出法を実装
Linked List Cycle II,Medium,○,実装は簡単。Noneの比較は==ではなくisで行う。
Remove Duplicates from Sorted List,Easy,○,ポインタを付け替えるだけ
Remove Duplicates from Sorted List II,Medium,○,ダミーノードを作って上手く処理する
Add Two Numbers,Medium,○,ミュータブル/イミュータブル/参照の代入について理解する
Remove Nth Node From End of List,Medium,○,参照の代入に気を付ける。n+aのfast/slowランナーを利用。
Copy List with Random Pointer,Medium,○,辞書を使って連結リストを処理
Reorder List,Medium,○,中央値発見/逆順並び替え/交互にマージの総合問題
Merge Two Sorted Lists,Easy,○,None or TrueはTrueになることに注意する
Merge k Sorted Lists,Hard,○,優先度付きキューを使う総合問題
LRU Cache,Medium,○,双方向連結リスト＋辞書を使う総合問題
,,,
Stack,,,
Valid Parentheses,Easy,○,辞書を使って解く(括弧の向きが逆になることに注意)
Min Stack,Easy,○,最小値保存用のスタックを別に作成する
Decode String,Medium,○,繰り返し回数保存用のスタックを別に作成する
Daily Temperature,Medium,○,標準的問題。スタックを用いて解く。
Flatten Nested List Iterator,Medium,,
Trapping Rain Water,Hard,,
Odd Even Jump,Hard,,
Basic Calculator,Hard,,
Basic Calculator II,Medium,,
,,,
Queue,,,
Moving Average from Data Stream,Easy,,
Kill Process,Medium,,
Task Scheduler,Medium,,
Design Circular Queue,Medium,,
Design Circular Deque,Medium,,
Design Snake Game,Medium,,
,,,
"Heap, PriorityQueue",,,
Kth Largest Element in a Stream,Easy,,
K Closest Points to Origin,Medium,,
Kth Largest Element in an Array,Medium,,
Top K Frequent Elements,Medium,,
Find K Pairs with Smallest Sums,Medium,,
Find Median from Data Stream,Hard,,
,,,
"HashMap, HashTable",,,
Subdomain Visit Count,Easy,,
Jewels and Stones,Easy,,
Happy Number,Easy,,
Two Sum,Easy,○,ハッシュテーブルを用いてO(N)で処理。_ in dictはvalueではなくkeyを見つける事に注意。
Intersection of Two Arrays,Easy,,
Intersection of Two Arrays II,Easy,,
Valid Anagram,Easy,,
Valid Palindrome,Easy,,
Valid Palindrome II,Easy,,
Unique Email Addresses,Easy,,
First Unique Character in a String,Easy,,
Island Perimeter,Easy,,
Contains Duplicate,Easy,,
Contains Duplicate II,Easy,,
Contains Duplicate III,Medium,,
Group Anagrams,Medium,,
Encode and Decode TinyURL,Medium,,
Subarray Sum Equals K,Medium,,
Integer to English Words,Hard,,
,,,
"Tree, BST",,,
Same Tree,Easy,,
Symmetric Tree,Easy,,
Subtree of Another Tree,Easy,,
Invert Binary Tree,Easy,,
Maximum Depth of Binary Tree,Easy,,
Merge Two Binary Trees,Easy,,
Convert Sorted Array to Binary Search Tree,Easy,,
Diameter of Binary Tree,Easy,,
Path Sum,Easy,,
Path Sum II,Medium,,
Path Sum III,Easy,,
Path Sum IV,Medium,,
House Robber III,Medium,,
Lowest Common Ancestor of a Binary Search Tree,Easy,,
Kth Smallest Element in a BST,Medium,,
Binary Search Tree Iterator,Medium,,
Validate Binary Search Tree,Medium,,
Lowest Common Ancestor of a Binary Tree,Medium,,
Binary Tree Level Order Traversal,Medium,,
Binary Tree Level Order Traversal II,Easy,,
Binary Tree Zigzag Level Order Traversal,Medium,,
Construct Binary Tree from Preorder and Inorder Traversal,Medium,,
Construct Binary Tree from Inorder and Postorder Traversal,Medium,,
Construct Binary Tree from Preorder and Postorder Traversal,Medium,,
Construct Binary Search Tree from Preorder Traversal,Medium,,
Construct String from Binary Tree,Easy,,
Construct Binary Tree from String,Medium,,
Binary Tree Maximum Path Sum,Hard,,
Serialize and Deserialize BST,Medium,,
Serialize and Deserialize Binary Tree,Hard,,
Count of Smaller Numbers After Self,Hard,,
,,,
"Graph, BFS, DFS",,,
Clone Graph,Medium,,
Graph Valid Tree,Medium,,
Number of Connected Components in an Undirected Graph,Medium,,
Course Schedule,Medium,,
Course Schedule II,Medium,,
Course Schedule III,Medium,,
Number of Islands,Medium,,
Max Area of Island,Medium,,
Evaluate Division,Medium,,
Word Ladder,Medium,,
Word Ladder II,Hard,,
Pacific Atlantic Water Flow,Medium,,
Reconstruct Itinerary,Medium,,
Alien Dictionary,Hard,,
Remove Invalid Parentheses,Hard,,
Minimize Malware Spread,Hard,,
Longest Increasing Path in a Matrix,Hard,,
,,,
Dynamic Programming,,,
Climbing Stairs,Easy,,
Paint Fence,Easy,,
Longest Increasing Subsequence,Medium,,
Longest Palindromic Subsequence,Medium,,
Longest Palindromic Substring,Medium,,
Palindromic Substrings,Medium,,
Maximum Subarray,Easy,,
Unique Paths,Medium,,
Unique Paths II,Medium,,
House Robber,Easy,,
House Robber II,Medium,,
Best Time to Buy and Sell Stock,Easy,,
Best Time to Buy and Sell Stock II,Easy,,
Best Time to Buy and Sell Stock III,Hard,,
Best Time to Buy and Sell Stock IV,Hard,,
Best Time to Buy and Sell Stock with Cooldown,Medium,,
Combination Sum,Medium,,
Combination Sum II,Medium,,
Combination Sum III,Medium,,
Combination Sum IV,Medium,,
Decode Ways,Medium,,
Jump Game,Medium,,
Jump Game II,Hard,,
Delete Operation for Two Strings,Medium,,
Perfect Squares,Medium,,
Maximal Square,Medium,,
Word Break,Medium,,
Word Break II,Hard,,
Coin Change,Medium,,
Coin Change 2,Medium,,
Regular Expression Matching,Hard,,
Edit Distance,Hard,,
Maximal Rectangle,Hard,,
Burst Balloons,Hard,,
Longest Valid Parentheses,Hard,,
Wildcard Matching,Hard,,
,,,
Binary Search,,,
Sqrt(x),Easy,,
Search Insert Position,Easy,,テストケースで死にまくるので気をつける
Is Subsequence,Medium,,
Find Minimum in Rotated Sorted Array,Medium,,めぐる式二分探索+hamkoのバグ無し解法
Find Minimum in Rotated Sorted Array II,Hard,,
Find First and Last Position of Element in Sorted Array,Medium,,
Search in Rotated Sorted Array,Medium,,
Search in Rotated Sorted Array II,Medium,,
Capacity To Ship Packages Within D Days,Medium,,
Search a 2D Matrix,Medium,,
Search a 2D Matrix II,Medium,,
Median of Two Sorted Arrays,Hard,○,jをiで上手く固定した後、B[j-1]<=A[i]かつA[i-1]<=B[j]を満たすiを二分探索で求める。
,,,
Recursion,,,
Range Sum of BST,Easy,,
Longest Univalue Path,Easy,,
Minimum Distance Between BST Nodes,Easy,,
"Pow(x, n)",Medium,,O(logN)に落とせる
K-th Symbol in Grammar,Medium,,
Partition to K Equal Sum Subsets,Medium,,
Split BST,Medium,,
,,,
Bit Manipulation,,,
Power of Two,Easy,,
Power of Three,Easy,,
Power of Four,Easy,,
Sum of Two Integers,Easy,,
Number of 1 Bits,Easy,,
Reverse Bits,Easy,,
Missing Number,Easy,,
Counting Bits,Medium,,
,,,
"Two Pointers, Sliding Window",,,
Longest Repeating Character Replacement,Medium,○,尺取り法(Two Pointers/Sliding Window)を用いてO(N)で処理
Longest Substring Without Repeating Characters,Medium,○,尺取り法を用いてO(N)で処理
Minimum Size Subarray Sum,Medium,○,尺取り法を用いてO(N)で処理。累積和＋二分探索を用いてO(NlogN)に処理する方法もある
Permutation in String,Medium,,
Max Consecutive Ones III,Medium,,
Minimum Window Substring,Hard,,
Sliding Window Maximum,Hard,,
Longest Substring with At Most K Distinct Characters,Hard,,
,,,
"Greedy, Backtracking",,,
Permutations,Medium,,"Greedy+Recursion, O(N!)にしかならない"
Permutations II,Medium,,
Subsets,Medium,,"Bit Manipulation, O(2^N)にしかならない"
Subsets ll,Medium,,高階関数(map)の使い方を覚える
Letter Combinations of a Phone Number,Medium,,
Queue Reconstruction by Height,Medium,,
Generate Parentheses,Medium,,
Remove Duplicate Letters,Hard,,
,,,
Others,,,
Beautiful Array,Medium,,
Design Tic-Tac-Toe,Medium,,
The Skyline Problem,Hard,,
Max Points on a Line,Hard,,
Combine Two Tables,Easy,,
Valid Phone Numbers,Easy,,
